"item_id","section","legacy_score","statement","disposition","embedded_assumption","ambiguity_and_bias","gaming_risk","role_or_culture_risk","required_evidence"
"L001","Team Structure","-1","Team has significantly unhealthy churn.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L002","Team Structure","-1","Communication is ineffective, for example reliance on email or other asynchronous forms of communication.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L003","Team Structure","1","Team has limited reliance on outside resources for day-to-day needs, and this is not causing a significant bottleneck for the team.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L004","Team Structure","1","Product owner is at least part time, 50% of time dedicated to team.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L005","Team Structure","1","Team has limited distractions outside of sprint goals.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L006","Team Structure","1","Team can deliver end to end features with business value.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L007","Team Structure","1","Team is cross-functional with skill set mix that is well-balanced to match the needs of the work.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L008","Team Structure","1","Team is dedicated to single value stream and does not multi-task outside of sprint goals.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L009","Team Structure","1","Product owner is dedicated to team and spends whatever time necessary for direct collaboration with team members.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L010","Team Structure","2","Team members are becoming T-shaped and can manage a variety of responsibilities as the work demands.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L011","Team Structure","3","Team members' skill sets are highly flexible - almost any team member can flex to take on any type of work.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L012","Team Workflow","-1","Developers work in isolation and do not engage in daily collaboration with teammates.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L013","Team Workflow","-1","Developers work from written documents and do not communicate directly with PO or other teammates","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L014","Team Workflow","1","Developers work in close digital proximity to each other","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L015","Team Workflow","1","Team has standard tools for sharing in their workflow","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
